entrada,exato,heuristico_10,heuristico_100,heuristico_1000,time_exato,time_heuristico_10,time_heuristico_100,time_heuristico_1000
20250528_220201/in0.txt,77,102,89,83,12.097097,0.059589,0.085045,0.635852
20250528_220201/in1.txt,82,87,82,82,1.4159,0.011931,0.028945,0.189127
20250528_220201/in2.txt,274,274,274,274,0.100058,0.014119,0.050206,0.383921
20250528_220201/in3.txt,293,293,293,293,0.114992,0.015556,0.061629,0.487611
20250528_220201/in4.txt,252,252,252,252,2.087408,0.016954,0.073346,0.595783
20250528_220201/in5.txt,540,540,540,540,11.415016,0.032168,0.19388,1.858518
20250528_220201/in6.txt,147,147,147,147,2.291851,0.026336,0.106045,0.730598
20250528_220201/in7.txt,491,491,491,491,0.24446,0.019078,0.097597,0.898855
20250528_220201/in8.txt,204,204,204,204,7.065269,0.024976,0.109379,0.769313
20250528_220201/in9.txt,43,43,43,43,0.007197,0.012518,0.029087,0.188211
20250528_220201/in10.txt,82,82,82,82,1.039748,0.020202,0.061732,0.449918
20250528_220201/in11.txt,525,525,525,525,1.747501,0.023554,0.129214,1.186949
20250528_220201/in12.txt,215,215,215,215,9.846131,0.021112,0.080552,0.546042
20250528_220201/in13.txt,144,147,145,144,4.120481,0.020443,0.072202,0.453978
20250528_220201/in14.txt,216,216,216,216,0.083699,0.015154,0.057594,0.453915
20250528_220201/in15.txt,107,107,107,107,0.678935,0.020231,0.067088,0.40288
20250528_220201/in16.txt,367,367,367,367,0.907719,0.023732,0.110616,0.829029
20250528_220201/in17.txt,75,75,75,75,0.027653,0.012152,0.022409,0.136571
20250528_220201/in18.txt,313,313,313,313,8.820998,0.027261,0.117817,0.868773
20250528_220201/in19.txt,267,267,267,267,7.885358,0.032031,0.18047,1.180909
20250528_220201/in20.txt,54,54,54,54,0.007749,0.012457,0.025065,0.157559
20250528_220201/in21.txt,169,169,169,169,0.862709,0.019367,0.063017,0.402563
20250528_220201/in22.txt,182,182,182,182,9.192164,0.026064,0.112129,0.786535
20250528_220201/in23.txt,197,197,197,197,4.764409,0.026617,0.130625,0.929601
20250528_220201/in24.txt,186,186,186,186,1.994546,0.02462,0.099014,0.647102
20250528_220201/in25.txt,375,375,375,375,3.651128,0.025864,0.123294,0.970904
20250528_220201/in26.txt,146,146,146,146,0.030713,0.011564,0.030246,0.226469
20250528_220201/in27.txt,64,64,64,64,0.036096,0.014488,0.041487,0.322919
20250528_220201/in28.txt,281,281,281,281,3.311767,0.017113,0.067915,0.530854
20250528_220201/in29.txt,239,239,239,239,0.093844,0.019862,0.088014,0.798802
