entrada,exato,heuristico_10,heuristico_100,heuristico_1000,brkga, time_exato,time_heuristico_10,time_heuristico_100,time_heuristico_1000,time_brkga
./yes20250530_024819_yes/n10/instancia_00.txt,103,105,103,103,103,0.027495,0.009943,0.01915,0.086836,0.995275
./yes20250530_024819_yes/n10/instancia_01.txt,32,66,57,55,52,0.226954,0.009553,0.018709,0.07897,0.906216
./yes20250530_024819_yes/n10/instancia_02.txt,82,106,82,82,82,0.245729,0.009851,0.018387,0.091052,1.045266
./yes20250530_024819_yes/n10/instancia_03.txt,142,142,142,142,142,0.024725,0.009859,0.019295,0.094715,0.986726
./yes20250530_024819_yes/n10/instancia_04.txt,149,149,149,149,149,0.024746,0.009622,0.022368,0.105206,0.940995
./yes20250530_024819_yes/n10/instancia_05.txt,50,113,71,71,67,0.206539,0.009359,0.017089,0.075871,0.880076
./yes20250530_024819_yes/n10/instancia_06.txt,46,78,64,64,62,0.12445,0.010134,0.017389,0.079868,0.859998
./yes20250530_024819_yes/n10/instancia_07.txt,93,108,93,93,93,0.054641,0.009587,0.017029,0.079077,0.827389
./yes20250530_024819_yes/n10/instancia_08.txt,94,112,94,94,94,0.028972,0.009576,0.020061,0.091388,1.049246
./yes20250530_024819_yes/n10/instancia_09.txt,94,94,94,94,94,0.133384,0.010655,0.018848,0.093071,1.097549
./yes20250530_024819_yes/n20/instancia_00.txt,159,165,159,159,159,1.978716,0.010166,0.027089,0.164063,2.037044
./yes20250530_024819_yes/n20/instancia_01.txt,215,222,220,215,215,1.542671,0.009429,0.027976,0.161655,1.925135
./yes20250530_024819_yes/n20/instancia_02.txt,111,151,139,132,111,0.726659,0.009316,0.023681,0.128002,1.739665
./yes20250530_024819_yes/n20/instancia_03.txt,166,179,166,166,166,2.142984,0.009457,0.025889,0.149756,2.314725
./yes20250530_024819_yes/n20/instancia_04.txt,117,147,121,117,117,3.568262,0.012521,0.034311,0.189195,2.317887
./yes20250530_024819_yes/n20/instancia_05.txt,138,159,142,139,138,2.986731,0.013357,0.038309,0.207497,2.386262
./yes20250530_024819_yes/n20/instancia_06.txt,229,236,229,229,229,0.618544,0.010217,0.029683,0.182887,2.468792
./yes20250530_024819_yes/n20/instancia_07.txt,167,182,167,167,167,1.672378,0.013194,0.038828,0.215465,2.377687
./yes20250530_024819_yes/n20/instancia_08.txt,34,63,48,46,34,11.048605,0.01365,0.032664,0.175128,2.308338
./yes20250530_024819_yes/n20/instancia_09.txt,238,244,238,238,238,1.40806,0.014154,0.040162,0.219224,2.55738
./yes20250530_024819_yes/n30/instancia_00.txt,62,153,142,131,120,10.99253,0.014868,0.039933,0.232297,3.343754
./yes20250530_024819_yes/n30/instancia_01.txt,243,294,244,243,243,26.252452,0.013515,0.041831,0.264686,3.518833
./yes20250530_024819_yes/n30/instancia_02.txt,153,209,187,179,153,0.411616,0.01065,0.034441,0.220398,3.010295
./yes20250530_024819_yes/n30/instancia_03.txt,44,98,86,83,62,36.082489,0.013262,0.034595,0.204555,3.149008
./yes20250530_024819_yes/n30/instancia_04.txt,203,226,203,203,203,32.380497,0.013356,0.045805,0.261604,3.686688
./yes20250530_024819_yes/n30/instancia_05.txt,301,301,301,301,301,10.029305,0.013669,0.049623,0.301357,3.906571
./yes20250530_024819_yes/n30/instancia_06.txt,398,440,398,398,398,1.323284,0.013928,0.053787,0.322522,3.803205
./yes20250530_024819_yes/n30/instancia_07.txt,440,440,440,440,440,4.49275,0.012106,0.044961,0.300366,4.198491
./yes20250530_024819_yes/n30/instancia_08.txt,195,214,195,195,195,42.423502,0.011099,0.03974,0.239729,3.917268
./yes20250530_024819_yes/n30/instancia_09.txt,450,450,450,450,450,0.473988,0.010448,0.041373,0.282629,4.459656
./yes20250530_024819_yes/n40/instancia_00.txt,181,244,211,200,181,0.708956,0.010894,0.045046,0.316554,4.248003
./yes20250530_024819_yes/n40/instancia_01.txt,487,494,487,487,487,1.770869,0.010997,0.049776,0.372614,5.833582
./yes20250530_024819_yes/n40/instancia_02.txt,311,366,311,317,311,20.08534,0.01627,0.070079,0.474539,6.174106
./yes20250530_024819_yes/n40/instancia_03.txt,161,174,161,161,161,63.518269,0.010627,0.043077,0.262945,6.536
./yes20250530_024819_yes/n40/instancia_04.txt,361,363,361,361,361,114.530212,0.014103,0.063271,0.381875,5.189976
./yes20250530_024819_yes/n40/instancia_05.txt,343,363,343,343,343,47.097637,0.011002,0.045239,0.295897,6.683
./yes20250530_024819_yes/n40/instancia_06.txt,430,451,430,430,430,4.666537,0.014712,0.069561,0.419089,5.127092
./yes20250530_024819_yes/n40/instancia_07.txt,48,78,61,55,48,71.849347,0.010515,0.037962,0.234897,4.496964
./yes20250530_024819_yes/n40/instancia_08.txt,444,453,444,444,444,12.531819,0.01367,0.065954,0.401271,5.210352
./yes20250530_024819_yes/n40/instancia_09.txt,577,577,577,577,577,2.113363,0.01434,0.068544,0.416911,6.513
./yes20250530_024819_yes/n50/instancia_00.txt,389,424,389,389,389,188.616955,0.010987,0.054606,0.389298,6.242945
./yes20250530_024819_yes/n50/instancia_01.txt,377,403,377,377,377,119.286679,0.01103,0.056778,0.39708,5.543316
./yes20250530_024819_yes/n50/instancia_02.txt,366,393,367,366,366,20.346276,0.011091,0.056792,0.392342,6.185674
./yes20250530_024819_yes/n50/instancia_03.txt,465,478,465,465,465,15.859006,0.010824,0.057553,0.403095,6.650544
./yes20250530_024819_yes/n50/instancia_04.txt,44,95,85,83,66,200.949397,0.012352,0.044657,0.309155,5.465316
./yes20250530_024819_yes/n50/instancia_05.txt,147,173,147,147,147,362.542097,0.010722,0.048126,0.335229,6.077742
./yes20250530_024819_yes/n50/instancia_06.txt,75,127,94,91,75,160.924473,0.010639,0.041426,0.263367,4.818773
./yes20250530_024819_yes/n50/instancia_07.txt,438,438,438,438,438,10.918796,0.010891,0.056881,0.42354,6.760792
./yes20250530_024819_yes/n50/instancia_08.txt,408,423,408,408,408,59.854485,0.010726,0.056332,0.410931,6.308286
./yes20250530_024819_yes/n50/instancia_09.txt,463,469,463,463,463,326.619608,0.010684,0.056492,0.433231,6.389682
