entrada,exato,heuristico_10,heuristico_100,heuristico_1000,brkga, time_exato,time_heuristico_10,time_heuristico_100,time_heuristico_1000,time_brkga
./yes20250530_024819_yes/n10/instancia_00.txt,103,105,103,103,103,0.027495,0.009943,0.01915,0.086836,0.995275
./yes20250530_024819_yes/n10/instancia_01.txt,32,66,57,55,52,0.226954,0.009553,0.018709,0.07897,0.906216
./yes20250530_024819_yes/n10/instancia_02.txt,82,106,82,82,82,0.245729,0.009851,0.018387,0.091052,1.045266
./yes20250530_024819_yes/n10/instancia_03.txt,142,142,142,142,142,0.024725,0.009859,0.019295,0.094715,0.986726
./yes20250530_024819_yes/n10/instancia_04.txt,149,149,149,149,149,0.024746,0.009622,0.022368,0.105206,0.940995
./yes20250530_024819_yes/n10/instancia_05.txt,50,113,71,71,67,0.206539,0.009359,0.017089,0.075871,0.880076
./yes20250530_024819_yes/n10/instancia_06.txt,46,78,64,64,62,0.12445,0.010134,0.017389,0.079868,0.859998
./yes20250530_024819_yes/n10/instancia_07.txt,93,108,93,93,93,0.054641,0.009587,0.017029,0.079077,0.827389
./yes20250530_024819_yes/n10/instancia_08.txt,94,112,94,94,94,0.028972,0.009576,0.020061,0.091388,1.049246
./yes20250530_024819_yes/n10/instancia_09.txt,94,94,94,94,94,0.133384,0.010655,0.018848,0.093071,1.097549
